gene,X.x,celltype.x,p_val.x,Sgp_avg_log2FC,Sgp130 pct,WT pct,p_val_adj.x,X.y,p_val.y,Human_avg_log2FC.y,Liver met pct,normal liver pct,p_val_adj.y,label
LRP1,Lrp1,Macrophage,4.67E-14,-0.225776865,0.606,0.781,1.08E-09,LRP1,5.51E-89,1.056573631,0.66,0.311,1.36E-84,good
LRP10,Lrp10,Macrophage,1.34E-12,-0.265612994,0.327,0.432,3.09E-08,LRP10,1.63E-07,0.182486629,0.403,0.279,0.004022049,good
LRP12,Lrp12,Macrophage,5.71E-14,-0.494969217,0.275,0.387,1.32E-09,LRP12,4.53E-11,1.270048382,0.06,0.018,1.12E-06,good
LRPAP1,Lrpap1,Macrophage,8.72E-18,-0.284670454,0.397,0.548,2.02E-13,LRPAP1,8.04E-84,0.853182418,0.754,0.448,1.98E-79,good
LY86,Ly86,Macrophage,1.34E-37,1.126427962,0.515,0.371,3.10E-33,LY86,9.39E-55,-0.611811335,0.588,0.694,2.32E-50,good
MAEA,Maea,Macrophage,3.69E-08,-0.219304347,0.241,0.314,0.00085537,MAEA,1.15E-13,0.469898116,0.235,0.132,2.83E-09,good
MAFB,Mafb,Macrophage,3.56E-12,-0.372719537,0.698,0.81,8.24E-08,MAFB,4.25E-09,-0.149521218,0.735,0.654,0.000104699,bad
MAP3K8,Map3k8,Macrophage,1.23E-08,-0.358220399,0.285,0.37,0.000284088,MAP3K8,1.28E-08,-0.147115466,0.81,0.765,0.000314749,bad
ME2,Me2,Macrophage,4.49E-19,-0.495146949,0.205,0.334,1.04E-14,ME2,1.30E-06,0.171461749,0.421,0.301,0.032039581,good
MEF2A,Mef2a,Macrophage,1.64E-07,0.395934874,0.636,0.66,0.003800512,MEF2A,6.05E-32,-0.666461002,0.489,0.559,1.49E-27,good
MERTK,Mertk,Macrophage,8.57E-20,1.532839354,0.248,0.146,1.98E-15,MERTK,7.51E-20,0.694533365,0.253,0.125,1.85E-15,bad
MET,Met,Macrophage,1.35E-15,-0.39686866,0.227,0.349,3.12E-11,MET,1.70E-08,5.482436005,0.02,0.001,0.000420102,good
MITF,Mitf,Macrophage,1.03E-13,-0.306774916,0.393,0.535,2.38E-09,MITF,5.57E-17,0.520701989,0.321,0.184,1.37E-12,good
MRPL14,Mrpl14,Macrophage,1.73E-15,-0.24165813,0.318,0.447,4.00E-11,MRPL14,2.48E-13,0.303371072,0.489,0.321,6.11E-09,good
MS4A4A,Ms4a4a,Macrophage,5.35E-07,-0.336451833,0.163,0.225,0.012388067,MS4A4A,8.02E-24,0.486734074,0.585,0.376,1.98E-19,good
MTHFD1L,Mthfd1l,Macrophage,9.70E-18,-0.586029236,0.207,0.327,2.25E-13,MTHFD1L,1.06E-55,1.721583258,0.258,0.063,2.62E-51,good
MYOF,Myof,Macrophage,8.89E-08,-0.107910878,0.368,0.464,0.002058392,MYOF,1.89E-24,0.729199129,0.311,0.155,4.67E-20,good
NAA35,Naa35,Macrophage,5.24E-07,-0.408225188,0.125,0.179,0.012126536,NAA35,2.41E-09,0.712167861,0.104,0.051,5.93E-05,good
NDUFA5,Ndufa5,Macrophage,6.94E-08,-0.235152074,0.258,0.332,0.001606454,NDUFA5,1.73E-09,0.228389221,0.421,0.28,4.25E-05,good
NFIL3,Nfil3,Macrophage,4.41E-12,-0.2542769,0.484,0.629,1.02E-07,NFIL3,5.29E-39,1.069094791,0.299,0.116,1.31E-34,good
NFKB1,Nfkb1,Macrophage,1.34E-17,0.583727774,0.71,0.68,3.09E-13,NFKB1,1.90E-13,0.263387008,0.597,0.405,4.69E-09,bad
NFKBIZ,Nfkbiz,Macrophage,2.36E-10,0.338194495,0.749,0.734,5.47E-06,NFKBIZ,7.42E-07,-0.287608405,0.558,0.557,0.018296223,good
NINJ1,Ninj1,Macrophage,1.31E-18,-0.365067126,0.509,0.669,3.04E-14,NINJ1,4.74E-53,0.609359488,0.807,0.483,1.17E-48,good
NME2,Nme2,Macrophage,3.67E-10,-0.160341833,0.885,0.953,8.51E-06,NME2,1.79E-85,-0.287534632,0.924,0.961,4.43E-81,bad
NPEPPS,Npepps,Macrophage,1.16E-18,-0.280760119,0.445,0.624,2.69E-14,NPEPPS,6.94E-09,0.245366551,0.323,0.214,0.000171116,good
NPL,Npl,Macrophage,2.14E-101,5.876088117,0.214,0.006,4.95E-97,NPL,1.70E-69,1.493265515,0.38,0.121,4.18E-65,bad
NR3C1,Nr3c1,Macrophage,5.57E-09,-0.242431694,0.359,0.46,0.000128861,NR3C1,4.36E-08,-0.337225872,0.498,0.501,0.00107502,bad
NR4A2,Nr4a2,Macrophage,8.51E-07,0.88346633,0.246,0.192,0.01971159,NR4A2,1.06E-12,-0.23016777,0.734,0.701,2.61E-08,good
NRAS,Nras,Macrophage,6.71E-16,-0.328084767,0.286,0.404,1.55E-11,NRAS,2.54E-29,0.89641029,0.27,0.115,6.25E-25,good
NT5DC2,Nt5dc2,Macrophage,1.57E-10,-0.419880146,0.192,0.278,3.63E-06,NT5DC2,1.79E-11,1.368535137,0.055,0.014,4.42E-07,good
NT5E,Nt5e,Macrophage,7.42E-07,-0.352366423,0.147,0.21,0.017182047,NT5E,9.05E-43,4.996413621,0.113,0.005,2.23E-38,good
OLFML3,Olfml3,Macrophage,1.88E-23,1.653015543,0.207,0.099,4.36E-19,OLFML3,1.88E-17,1.828289331,0.075,0.016,4.63E-13,bad
P2RX4,P2rx4,Macrophage,3.58E-07,0.611582337,0.367,0.302,0.008286157,P2RX4,2.77E-23,0.518526292,0.465,0.269,6.84E-19,bad
P2RY12,P2ry12,Macrophage,1.17E-08,1.248456771,0.1,0.052,0.000270759,P2RY12,1.42E-54,-2.471659126,0.045,0.188,3.50E-50,good
PABPC1,Pabpc1,Macrophage,2.98E-11,0.349535297,0.735,0.81,6.91E-07,PABPC1,2.74E-93,-0.251553023,0.983,0.987,6.75E-89,good
PAK1IP1,Pak1ip1,Macrophage,2.58E-11,-0.392323071,0.192,0.28,5.98E-07,PAK1IP1,3.09E-09,0.256278792,0.157,0.087,7.62E-05,good
PAPSS2,Papss2,Macrophage,1.78E-15,-0.953153364,0.072,0.151,4.12E-11,PAPSS2,2.38E-07,0.147956211,0.51,0.368,0.005879549,good
PCBP1,Pcbp1,Macrophage,7.41E-27,-0.387213645,0.534,0.718,1.72E-22,PCBP1,1.38E-85,-0.318484833,0.903,0.932,3.41E-81,bad
PDE4B,Pde4b,Macrophage,1.49E-10,0.343889069,0.773,0.78,3.45E-06,PDE4B,3.24E-07,0.1960797,0.604,0.469,0.007987387,bad
PDIA4,Pdia4,Macrophage,3.11E-08,-0.238817248,0.323,0.407,0.000719529,PDIA4,1.14E-40,0.79759945,0.491,0.254,2.80E-36,good
PFKP,Pfkp,Macrophage,3.00E-26,-0.413625354,0.452,0.649,6.94E-22,PFKP,5.19E-57,1.839266545,0.252,0.058,1.28E-52,good
PGM1,Pgm1,Macrophage,4.74E-24,-0.743667939,0.2,0.342,1.10E-19,PGM1,6.23E-20,0.625327818,0.216,0.099,1.54E-15,good
PIK3AP1,Pik3ap1,Macrophage,2.28E-07,0.428722605,0.622,0.628,0.005283512,PIK3AP1,2.77E-11,0.3314524,0.483,0.336,6.83E-07,bad
PILRA,Pilra,Macrophage,3.62E-17,-0.324627559,0.462,0.617,8.39E-13,PILRA,2.08E-10,-0.207813603,0.668,0.648,5.12E-06,bad
PIM1,Pim1,Macrophage,6.71E-15,0.343796994,0.888,0.891,1.55E-10,PIM1,1.97E-12,0.464323445,0.271,0.166,4.86E-08,bad
PKM,Pkm,Macrophage,9.03E-91,-0.620606824,0.835,0.975,2.09E-86,PKM,7.37E-53,0.387331482,0.941,0.783,1.82E-48,good
PLAC8,Plac8,Macrophage,1.26E-18,-0.518886775,0.49,0.639,2.92E-14,PLAC8,8.39E-56,-1.341166071,0.191,0.39,2.07E-51,bad
PLEC,Plec,Macrophage,4.18E-20,-0.547787002,0.256,0.39,9.68E-16,PLEC,5.30E-62,0.972159276,0.509,0.221,1.31E-57,good
PLIN2,Plin2,Macrophage,5.22E-70,-0.808414522,0.705,0.893,1.21E-65,PLIN2,6.44E-47,0.515384915,0.866,0.634,1.59E-42,good
PLTP,Pltp,Macrophage,9.38E-09,0.801780531,0.215,0.15,0.0002171,PLTP,2.48E-23,0.687831998,0.363,0.201,6.12E-19,bad
PLXDC2,Plxdc2,Macrophage,2.62E-07,0.930746625,0.148,0.097,0.00606822,PLXDC2,3.51E-18,0.345089179,0.791,0.584,8.66E-14,bad
PMEPA1,Pmepa1,Macrophage,4.23E-24,1.445513132,0.295,0.177,9.79E-20,PMEPA1,2.64E-39,2.2994128,0.149,0.026,6.50E-35,bad
POR,Por,Macrophage,8.86E-21,-0.428878505,0.334,0.481,2.05E-16,POR,1.24E-33,0.767586863,0.442,0.233,3.07E-29,good
PPIA,Ppia,Macrophage,1.36E-39,0.485631654,0.938,0.956,3.16E-35,PPIA,1.29E-77,-0.192135115,0.983,0.987,3.19E-73,good
PPME1,Ppme1,Macrophage,9.92E-10,-0.272434301,0.208,0.289,2.30E-05,PPME1,1.49E-07,0.415417275,0.116,0.064,0.003670801,good
PPP1R3B,Ppp1r3b,Macrophage,2.66E-19,-0.442961605,0.231,0.368,6.16E-15,PPP1R3B,5.31E-19,1.44342818,0.105,0.031,1.31E-14,good
PTGER4,Ptger4,Macrophage,2.81E-07,0.774409275,0.253,0.195,0.006506321,PTGER4,1.76E-09,-0.496876678,0.384,0.422,4.33E-05,good
PTMA,Ptma,Macrophage,1.77E-21,0.365240232,0.947,0.94,4.09E-17,PTMA,2.11E-49,-0.152796856,0.999,0.998,5.20E-45,good
PTPN12,Ptpn12,Macrophage,7.72E-07,-0.118852045,0.415,0.512,0.017881563,PTPN12,3.29E-37,0.83148786,0.425,0.212,8.10E-33,good
PTPRC,Ptprc,Macrophage,4.12E-08,0.300778859,0.802,0.872,0.000953015,PTPRC,5.64E-125,-0.48090694,0.812,0.883,1.39E-120,good
PTPRE,Ptpre,Macrophage,1.30E-13,-0.248422423,0.451,0.589,3.00E-09,PTPRE,1.04E-10,-0.247755321,0.665,0.649,2.56E-06,bad
PTPRM,Ptprm,Macrophage,1.19E-12,2.295456053,0.082,0.032,2.77E-08,PTPRM,1.35E-09,0.902810688,0.062,0.021,3.32E-05,bad
PYCARD,Pycard,Macrophage,3.99E-14,-0.257957628,0.668,0.828,9.24E-10,PYCARD,6.68E-50,-0.357079784,0.791,0.825,1.65E-45,bad
RAI14,Rai14,Macrophage,5.61E-33,-0.721411463,0.308,0.494,1.30E-28,RAI14,4.80E-36,7.107057677,0.088,0.001,1.18E-31,good
RAPGEF1,Rapgef1,Macrophage,3.37E-15,-0.365578219,0.332,0.453,7.80E-11,RAPGEF1,4.52E-30,0.647655642,0.416,0.218,1.12E-25,good
RAPGEF2,Rapgef2,Macrophage,1.45E-16,0.818097356,0.548,0.496,3.36E-12,RAPGEF2,2.43E-11,0.444399976,0.174,0.094,5.99E-07,bad
RASGRP3,Rasgrp3,Macrophage,4.31E-08,2.926544968,0.028,0.006,0.000997874,RASGRP3,9.86E-42,1.64186952,0.202,0.051,2.43E-37,bad
RBPJ,Rbpj,Macrophage,9.54E-40,-0.453665463,0.699,0.9,2.21E-35,RBPJ,3.94E-07,0.215829115,0.686,0.519,0.009711257,good
REEP3,Reep3,Macrophage,2.17E-13,-0.26391628,0.369,0.496,5.03E-09,REEP3,2.13E-12,0.267435613,0.4,0.255,5.26E-08,good
REL,Rel,Macrophage,3.13E-28,0.791862389,0.684,0.637,7.24E-24,REL,1.12E-21,-0.220808371,0.847,0.83,2.77E-17,good
RGS1,Rgs1,Macrophage,4.09E-27,0.706198865,0.58,0.454,9.47E-23,RGS1,1.50E-47,-0.569637822,0.581,0.684,3.69E-43,good
RHOG,Rhog,Macrophage,2.67E-10,-0.130453003,0.509,0.649,6.19E-06,RHOG,2.59E-69,-0.415060933,0.773,0.816,6.40E-65,bad
RHOQ,Rhoq,Macrophage,8.09E-08,-0.161843351,0.319,0.406,0.001872584,RHOQ,5.76E-17,0.451704664,0.383,0.231,1.42E-12,good
RIPK1,Ripk1,Macrophage,1.46E-06,-0.185476917,0.234,0.299,0.033893377,RIPK1,7.60E-12,0.390571205,0.199,0.11,1.87E-07,good
RIT1,Rit1,Macrophage,4.27E-07,-0.427879362,0.084,0.133,0.009881077,RIT1,9.65E-23,0.603640568,0.332,0.176,2.38E-18,good
ROCK1,Rock1,Macrophage,7.52E-08,-0.11714202,0.57,0.708,0.001741867,ROCK1,5.42E-09,-0.223144492,0.67,0.636,0.000133659,bad
RPL24,Rpl24,Macrophage,3.61E-24,-0.206857027,0.972,0.994,8.36E-20,RPL24,1.85E-71,-0.214117731,0.988,0.992,4.56E-67,bad
RPL34,Rpl34,Macrophage,1.93E-63,-0.336403698,0.985,0.998,4.46E-59,RPL34,5.36E-69,-0.20155859,0.996,0.997,1.32E-64,bad
RPL37A,Rpl37a,Macrophage,1.44E-165,-0.597519769,0.995,0.997,3.33E-161,RPL37A,1.44E-47,-0.160908678,0.976,0.979,3.54E-43,bad
RPS13,Rps13,Macrophage,2.33E-16,-0.155374628,0.983,0.996,5.39E-12,RPS13,5.64E-88,-0.229952687,0.995,0.996,1.39E-83,bad
RPS15A,Rps15a,Macrophage,1.65E-103,-0.455874353,0.981,0.997,3.83E-99,RPS15A,4.82E-81,-0.213431944,0.996,0.996,1.19E-76,bad
RPS16,Rps16,Macrophage,7.36E-13,-0.129102352,0.998,1,1.70E-08,RPS16,2.34E-67,-0.192701637,0.992,0.994,5.76E-63,bad
RPS21,Rps21,Macrophage,7.59E-181,-0.665751948,0.973,0.998,1.76E-176,RPS21,1.13E-48,-0.170631451,0.985,0.985,2.78E-44,bad
RPS24,Rps24,Macrophage,1.33E-10,-0.117786155,0.994,0.999,3.08E-06,RPS24,3.43E-76,-0.209861451,0.996,0.995,8.47E-72,bad
RPS27A,Rps27a,Macrophage,2.05E-41,-0.250482463,0.996,0.999,4.74E-37,RPS27A,4.03E-87,-0.224056311,0.993,0.997,9.94E-83,bad
RPS28,Rps28,Macrophage,4.14E-174,-0.613947678,0.972,0.999,9.59E-170,RPS28,2.58E-40,-0.134049125,0.997,0.995,6.37E-36,bad
RPS29,Rps29,Macrophage,5.07E-223,-0.618310706,0.996,0.999,1.17E-218,RPS29,4.60E-29,-0.144607488,0.942,0.939,1.13E-24,bad
RPS5,Rps5,Macrophage,2.80E-11,-0.147892492,0.972,0.998,6.48E-07,RPS5,2.79E-100,-0.262998495,0.972,0.984,6.89E-96,bad
RREB1,Rreb1,Macrophage,1.68E-11,-0.243911018,0.482,0.612,3.88E-07,RREB1,9.91E-26,0.757645976,0.268,0.123,2.44E-21,good
RUNX2,Runx2,Macrophage,2.30E-11,-0.395255763,0.257,0.354,5.32E-07,RUNX2,3.65E-16,-1.29886763,0.091,0.168,8.99E-12,bad
RUNX3,Runx3,Macrophage,5.62E-14,-0.233039477,0.466,0.626,1.30E-09,RUNX3,1.49E-09,0.214712677,0.259,0.164,3.68E-05,good
RYBP,Rybp,Macrophage,2.79E-22,-0.30342833,0.391,0.566,6.46E-18,RYBP,4.60E-10,0.417757679,0.235,0.147,1.13E-05,good
S100A10,S100a10,Macrophage,3.65E-78,-0.64141256,0.77,0.955,8.45E-74,S100A10,1.02E-21,0.227551738,0.982,0.877,2.51E-17,good
SCAF11,Scaf11,Macrophage,6.34E-09,-0.17807537,0.35,0.451,0.000146837,SCAF11,4.03E-11,-0.313096805,0.592,0.567,9.94E-07,bad
SEC61A1,Sec61a1,Macrophage,6.82E-08,-0.143586198,0.269,0.349,0.001579797,SEC61A1,1.57E-19,0.4447484,0.44,0.261,3.87E-15,good
SEC61G,Sec61g,Macrophage,2.26E-129,-0.819763743,0.764,0.968,5.24E-125,SEC61G,1.14E-56,0.614792769,0.811,0.533,2.81E-52,good
SHOC2,Shoc2,Macrophage,5.90E-08,-0.169741744,0.252,0.329,0.001365549,SHOC2,1.61E-16,0.400350172,0.422,0.258,3.97E-12,good
SKIL,Skil,Macrophage,7.11E-19,0.847367335,0.549,0.499,1.65E-14,SKIL,5.38E-21,0.376244508,0.708,0.489,1.33E-16,bad
SLC15A3,Slc15a3,Macrophage,1.36E-06,-0.1376418,0.627,0.746,0.031376007,SLC15A3,1.07E-28,0.632678347,0.416,0.218,2.63E-24,good
SLC22A4,Slc22a4,Macrophage,1.96E-08,-0.793965935,0.062,0.111,0.00045278,SLC22A4,4.36E-38,2.884010027,0.122,0.013,1.07E-33,good
SLC25A13,Slc25a13,Macrophage,1.89E-06,-0.380948293,0.087,0.133,0.043686842,SLC25A13,1.28E-15,0.449480018,0.307,0.176,3.15E-11,good
SLC2A1,Slc2a1,Macrophage,1.15E-60,-0.817261562,0.476,0.733,2.66E-56,SLC2A1,4.16E-44,2.537988096,0.155,0.023,1.02E-39,good
SLC35B1,Slc35b1,Macrophage,3.76E-07,-0.257741421,0.202,0.268,0.008698043,SLC35B1,1.06E-16,0.393881339,0.308,0.171,2.61E-12,good
SLCO2B1,Slco2b1,Macrophage,9.09E-16,2.664656963,0.06,0.013,2.10E-11,SLCO2B1,1.71E-09,0.28408692,0.399,0.269,4.22E-05,bad
SLIRP,Slirp,Macrophage,1.53E-19,-0.399758745,0.25,0.381,3.54E-15,SLIRP,1.66E-30,0.544103006,0.592,0.359,4.10E-26,good
SMOX,Smox,Macrophage,2.48E-14,-0.245167895,0.564,0.722,5.74E-10,SMOX,7.73E-46,2.203559715,0.171,0.028,1.91E-41,good
SNAPC1,Snapc1,Macrophage,3.49E-17,-0.71227552,0.197,0.308,8.07E-13,SNAPC1,3.68E-22,0.866570836,0.238,0.112,9.08E-18,good
SNRPE,Snrpe,Macrophage,2.38E-15,-0.186508293,0.594,0.764,5.50E-11,SNRPE,9.39E-18,0.399045057,0.476,0.298,2.32E-13,good
SOCS3,Socs3,Macrophage,9.40E-52,1.117561572,0.666,0.566,2.18E-47,SOCS3,2.43E-16,0.367670972,0.574,0.387,5.98E-12,bad
SPP1,Spp1,Macrophage,1.18E-38,-0.975227359,0.545,0.696,2.74E-34,SPP1,2.95E-262,5.420249743,0.53,0.016,7.26E-258,good
SSR3,Ssr3,Macrophage,2.81E-15,-0.28049778,0.482,0.634,6.50E-11,SSR3,3.76E-20,-0.215836752,0.754,0.733,9.28E-16,bad
STK40,Stk40,Macrophage,2.72E-11,-0.279994659,0.319,0.419,6.30E-07,STK40,1.82E-23,0.650886118,0.308,0.155,4.50E-19,good
STMN1,Stmn1,Macrophage,1.94E-06,1.090535224,0.136,0.091,0.044921442,STMN1,3.23E-15,-0.830078132,0.263,0.334,7.96E-11,good
STT3B,Stt3b,Macrophage,3.57E-10,-0.224151891,0.303,0.398,8.26E-06,STT3B,1.09E-46,0.869537622,0.475,0.22,2.68E-42,good
SVIL,Svil,Macrophage,9.01E-10,-0.236520581,0.411,0.522,2.09E-05,SVIL,2.13E-11,1.053363877,0.081,0.03,5.26E-07,good
TANC2,Tanc2,Macrophage,1.45E-28,1.73431009,0.241,0.117,3.36E-24,TANC2,1.87E-29,1.514234475,0.158,0.045,4.62E-25,bad
TBC1D5,Tbc1d5,Macrophage,1.26E-10,0.693751914,0.4,0.329,2.92E-06,TBC1D5,1.19E-08,-0.634410505,0.334,0.36,0.000294225,good
TCF4,Tcf4,Macrophage,9.87E-12,0.648517267,0.531,0.492,2.28E-07,TCF4,4.39E-15,-0.833245423,0.209,0.29,1.08E-10,good
TCF7L2,Tcf7l2,Macrophage,1.53E-07,-0.16354335,0.46,0.575,0.003537451,TCF7L2,5.62E-12,0.499026689,0.234,0.139,1.39E-07,good
TFEC,Tfec,Macrophage,6.15E-12,-0.223994253,0.21,0.314,1.42E-07,TFEC,5.31E-12,0.291486841,0.429,0.278,1.31E-07,good
TGFBR1,Tgfbr1,Macrophage,5.41E-22,1.072390768,0.398,0.282,1.25E-17,TGFBR1,3.62E-37,0.939861719,0.344,0.152,8.92E-33,bad
TGIF1,Tgif1,Macrophage,6.79E-07,0.658328866,0.386,0.33,0.015717775,TGIF1,2.52E-35,0.555783733,0.61,0.348,6.22E-31,bad
TGM2,Tgm2,Macrophage,1.28E-09,-0.318885192,0.555,0.674,2.96E-05,TGM2,1.71E-153,2.910089714,0.447,0.07,4.22E-149,good
THBS1,Thbs1,Macrophage,2.59E-12,-0.225617865,0.747,0.806,6.00E-08,THBS1,1.59E-30,0.9226287,0.318,0.156,3.93E-26,good
TLN1,Tln1,Macrophage,2.65E-13,-0.22397662,0.658,0.814,6.14E-09,TLN1,7.57E-13,0.276063363,0.745,0.56,1.87E-08,good
TMCC3,Tmcc3,Macrophage,6.02E-27,1.48361133,0.275,0.148,1.39E-22,TMCC3,2.12E-11,0.370972473,0.215,0.123,5.24E-07,bad
TMEM176A,Tmem176a,Macrophage,9.74E-61,1.833906888,0.361,0.15,2.26E-56,TMEM176A,3.58E-158,1.685957501,0.645,0.214,8.82E-154,bad
TMEM30A,Tmem30a,Macrophage,6.59E-10,-0.217128457,0.33,0.426,1.53E-05,TMEM30A,2.31E-29,0.581356623,0.483,0.268,5.69E-25,good
TNFAIP3,Tnfaip3,Macrophage,6.21E-25,0.86891533,0.586,0.523,1.44E-20,TNFAIP3,1.42E-10,-0.198532154,0.772,0.738,3.49E-06,good
TPT1,Tpt1,Macrophage,5.68E-31,-0.228723694,0.999,1,1.32E-26,TPT1,1.00E-74,-0.191262639,0.998,0.999,2.47E-70,bad
TRAF3,Traf3,Macrophage,4.12E-07,0.649308769,0.416,0.377,0.009543143,TRAF3,3.32E-30,1.056554857,0.242,0.096,8.19E-26,bad
TRAPPC2L,Trappc2l,Macrophage,6.45E-11,-0.174284534,0.33,0.432,1.49E-06,TRAPPC2L,4.24E-25,0.628688394,0.442,0.251,1.05E-20,good
TRPV2,Trpv2,Macrophage,2.38E-10,-0.341302002,0.245,0.331,5.52E-06,TRPV2,1.46E-06,0.130897319,0.307,0.21,0.035902813,good
TSPO,Tspo,Macrophage,1.96E-10,-0.146067641,0.758,0.884,4.53E-06,TSPO,2.92E-11,0.204071007,0.91,0.787,7.21E-07,good
UBA1,Uba1,Macrophage,1.32E-13,-0.34253342,0.282,0.389,3.05E-09,UBA1,3.18E-21,0.491387659,0.444,0.261,7.84E-17,good
UBASH3B,Ubash3b,Macrophage,1.31E-10,-0.246742198,0.422,0.547,3.03E-06,UBASH3B,5.20E-22,0.706003841,0.239,0.109,1.28E-17,good
UBE2I,Ube2i,Macrophage,5.39E-10,-0.147891508,0.488,0.61,1.25E-05,UBE2I,1.31E-10,-0.232334376,0.651,0.619,3.23E-06,bad
UBXN1,Ubxn1,Macrophage,9.22E-11,-0.117278978,0.478,0.611,2.13E-06,UBXN1,1.19E-40,-0.361438768,0.738,0.76,2.93E-36,bad
UFM1,Ufm1,Macrophage,1.00E-17,-0.398375857,0.269,0.391,2.32E-13,UFM1,7.50E-20,0.441864321,0.573,0.373,1.85E-15,good
UGP2,Ugp2,Macrophage,1.15E-22,-0.463732688,0.341,0.496,2.66E-18,UGP2,3.70E-18,0.438603541,0.456,0.278,9.12E-14,good
UPP1,Upp1,Macrophage,6.21E-33,-0.723787206,0.23,0.42,1.44E-28,UPP1,6.72E-139,1.105402888,0.81,0.404,1.66E-134,good
USF2,Usf2,Macrophage,6.46E-19,-0.513390941,0.313,0.435,1.50E-14,USF2,2.24E-51,0.803246713,0.552,0.274,5.52E-47,good
VDAC1,Vdac1,Macrophage,5.37E-17,-0.319097424,0.442,0.592,1.24E-12,VDAC1,1.92E-07,0.236681674,0.755,0.602,0.004727939,good
VDR,Vdr,Macrophage,2.20E-08,-0.403312097,0.164,0.236,0.000510167,VDR,4.29E-65,1.606705341,0.313,0.083,1.06E-60,good
VEGFA,Vegfa,Macrophage,2.86E-14,-0.14774045,0.484,0.662,6.61E-10,VEGFA,4.31E-100,1.262842602,0.599,0.24,1.06E-95,good
VPS37A,Vps37a,Macrophage,4.44E-07,-0.180288673,0.198,0.262,0.010277974,VPS37A,1.89E-08,0.194667963,0.244,0.153,0.000466623,good
WBP1L,Wbp1l,Macrophage,1.50E-11,-0.43290763,0.227,0.317,3.47E-07,WBP1L,1.19E-08,0.296334481,0.193,0.118,0.000292509,good
WDR45B,Wdr45b,Macrophage,3.60E-09,-0.23034496,0.256,0.339,8.34E-05,WDR45B,1.38E-15,0.419633099,0.393,0.243,3.40E-11,good
WNK1,Wnk1,Macrophage,3.62E-09,0.309412678,0.752,0.769,8.39E-05,WNK1,2.10E-07,0.178435297,0.513,0.367,0.005186021,bad
XBP1,Xbp1,Macrophage,1.30E-34,-0.541192132,0.467,0.67,3.00E-30,XBP1,2.78E-13,0.309560759,0.671,0.483,6.86E-09,good
YIPF5,Yipf5,Macrophage,1.69E-13,-0.309250095,0.223,0.325,3.92E-09,YIPF5,4.85E-12,0.433383663,0.275,0.166,1.20E-07,good
YWHAG,Ywhag,Macrophage,2.91E-17,-0.356504221,0.407,0.545,6.75E-13,YWHAG,6.33E-39,0.683345294,0.539,0.292,1.56E-34,good
ZBTB20,Zbtb20,Macrophage,2.01E-16,1.076055246,0.325,0.225,4.66E-12,ZBTB20,6.61E-17,-1.566121885,0.07,0.143,1.63E-12,good
ZFP36,Zfp36,Macrophage,3.68E-71,1.075409196,0.761,0.654,8.53E-67,ZFP36,1.14E-113,-0.442757371,0.888,0.956,2.81E-109,good
ZMIZ1,Zmiz1,Macrophage,8.63E-19,-0.36960333,0.547,0.715,2.00E-14,ZMIZ1,8.70E-54,0.902007246,0.502,0.231,2.14E-49,good
ZSWIM6,Zswim6,Macrophage,3.06E-08,0.38269282,0.67,0.683,0.000708925,ZSWIM6,5.04E-14,0.52973647,0.242,0.136,1.24E-09,bad
ZYX,Zyx,Macrophage,5.24E-25,-0.434268912,0.381,0.554,1.21E-20,ZYX,1.31E-22,-0.164743207,0.827,0.8,3.23E-18,bad
